coment,manifest_atendimento
não resolveram ; ligaram para um ramal errado que não é o meu ; o que está ocorrendo de não ter solucionado essa demanda ???,reclamação
"Como sempre, bem atendido.",elogio
Sempre de parabén a TIC.,elogio
fui bem atendida ao telefone. Porém nada foi solucionado. Continuo sem conseguir fazer nenhum tipo de chamada e também sem o cadeado eletronico,neutro
"Não existe uma forma de comunicação com a TIC para saber o andamento das solicitações.    Quando o serviço leva mais de um dia, fica-se sem saber sobre o andamento do mesmo, se faltou algo, se a conclusão está próxima, etc.",neutro
O serviço foi repassado para o setor de competência. Muito simpatico e atencioso o atendente.,neutro
"Atendimento realizado com eficiência, em curto período de tempo.",elogio
"Excelente atendimento dos dois operadores. Serviço necessitou de muita paciencia devido a precariedade temporaria do sistema de transmissão via radio (link PCE-1/P-08). Uma transferencia de 300 Mb durou 4,5 horas. Muito obrigado a equipe.",elogio
Aguarda SAP voltar ao normal.,neutro
Demoraram muito para comparecer à sala.,neutro
Muito bom o atendimento.,elogio
Excelente atendimento!!,elogio
"O problema foi parcialmente resolvido, ainda não consigo acessar no Portal Petrobras a opção Viagem",reclamação
Resolvido com atenção e sucesso.,elogio
"O problema da abertura do cronograma não foi resolvido. Porém, o cronograma foi desbloqueado e conseguimos fazer o avanço físico através do ""Gantt do Clarity"" para criação do RAP.",neutro
Não obtive acesso às pastas,reclamação
Solucionador simpático e eficiente.,elogio
"Muito bom, parabéns.",elogio
"Muito bom, parabéns.",elogio
Atendente solícita e paciente. Foram quase 2:20 de atendimento!,elogio
"Poderia ter sido resolvido desde o primeiro chamado, desde que tivessem empenho e critério de comunicar-se com o solictante para averiguar a real necessidade do chamado.",reclamação
ótimo atendimento.,elogio
"EXCELENTE PROFISSIONAL , AGIL E MUITO EDUCADO.",elogio
Bom atendimento.,elogio
Fui bem atendido e resolveram meu problema,elogio
Fui bem atendido e resolveram meu problema.,elogio
"Excelente atendimento, mas necessitava de apoio tec local. O problema foi resolvido internamente.",neutro
O chamado foi aberto na manhã de sexta e somente hoje foi atendido.,reclamação
Fui benm atendido e resolveram meu problema.,elogio
Fui bem atendido e resolveram meu problema.,elogio
Péssimo atendimento. Vejo que não temos suporte para este software. Há um problema de configuração de domínio não resolviodo.,reclamação
Resolvido rapidamente. Obrigada,elogio
"muita atenção, compreensão, vontade de resolver o problema, e paciência",elogio
"O atendimento foi ""imediato"", muito obrigado.",elogio
"Não entendo que meu chamado foi resolvido. O notebook liga, mas o pacote office não está instalado. Preciso do pacote office para trabalhar.",reclamação
 Serviço  e atendimento nota  mil .,elogio
O ramal ainda continua sem meu nome. Desliguei e liguei o telefone e nem assim parece o meu nome.,reclamação
Agilidade,elogio
Foi informado que o acesso ao SAP ainda não está liberado.,neutro
Precisava da Versão 2014-3 do Petrel para poder abrir projeto enviado por paeceira.,neutro
Aguardando liberação do acesso ao SAP.,neutro
"Não concordei com a informação da TI, solicitando um novo chamado para incluir para quem seria o chamado.  O Computador estava livre e as informações de contato estavam na solicitação.  Já foi feita uma nova solicitação conforme orientado pela TI.",reclamação
O Atendimento foi maravilhoso. Muito obrigada.,elogio
O atendimento foi de grande presteza.,elogio
Minha máquina precisava de manutenção e não foi possível realizar o primeiro acesso. Atendente repassou o chamado para o setor correto.,neutro
Excelente presteza. Profissional exemplar.,elogio
Na verdade tinha sido eliminada a pasta mapeada.,neutro
O atendimento foi realizado com êxito.,elogio
O atendente foi muito atencioso e eficiente.,elogio
EXCELENTE,elogio
ótimo.,elogio
Excelente atendimento.,elogio
"Prezados, A própria conclusão do chamado ""informa que o Lancrypt não encontra-se instalado."" Não há como considerar esse chamado fechado. Não há fundamento para isso.",reclamação
O Firefox já estava atualizado. não foi necessária realização deste serviço,neutro
EXCELENTE,elogio
Sem comentários.,neutro
"Já há um outro chamado tratando desse problema, portanto o meu foi encerrado.",reclamação
Excelente atendimento!,elogio
"Além do mouse, foi verificado que a máquina e o filtro de linha não estavam funcionando. Por isso, a máquina (cpu/hd externo) foi levada na sexta feira, com a infomação de que retornaria na segunda  (01.06.2015) logo no primeiro horário (8h), mas só às 10:40 da manhã o problema foi de fato resolvido.",reclamação
problema resolvido.,neutro
Problema resolvido.,neutro
Excelente adentimento!,elogio
Otimo atendimento,elogio
"Em minha opinião, para a verdadeira eficiência não deveria ser necessário abrir chamado para  adicionar um atalho. Muito melhor seria se não fosse necessário ligar para o 881 para coisas tão básicas, mas os atalhos são tão impossíveis de se achar!!",neutro
Excelente serviço prestado. Recomendo.,elogio
TEMPO DE RESPOSTA PARA ATENDIMENTO - MUITO BOM.,neutro
"Ótimo atendimento, muito rápido.",elogio
Excelente atendimento,elogio
Atendentes muito cordatos e solicitos,elogio
Atendentes muito cordatos e solicitos,elogio
Atendentes muito cordatos e solicitos,elogio
Superou à expectativa,elogio
superou à expectativa,elogio
"O colaborador TIC, orientou a entrar em contato com o emissor do documento para repassar o mesmo, que veio com erro. ",neutro
"O atendimento demorou cerca de 2 horas, sendo que um colega meu que fez a mesma solicitação foi atendido em cerca de 15-20 minutos antes de mim.",reclamação
S/C,neutro
Fui muito bem atendido. Grato.,elogio
"O atendente reportou que o problema com a impressora era local, ocorre que a impressão local está ok. O conflito está entre o SAP e a impressora. ",reclamação
Sem C.,neutro
Muito obrigado pela ajuda,elogio
Há um vírus no facebook e não não no computador e/ou rede Petrobras.  Creio ser assunto meu para ser resolvido junto ao facebook mesmo.,neutro
Parabéns pelo ótimo atendimento!,elogio
Ótimo atendimento,elogio
Excelente atendimento!!! ,elogio
Resolveu rápido e seguro.,elogio
Profissionalismo e cordialidade no atendimento.,elogio
Profissionalismo e cordialidade no atendimento.,elogio
Atendente André racional e paciente. Muito Bom !,elogio
a primeira senha não resolveu,neutro
"PARABÉNS, A TIC PRECISA DE MAIS ATENDENTES COMO VOCÊ. EXELENTE!!!!",elogio
Continuem assim,neutro
Ótimo atendimento,elogio
sem comentarios,neutro
"Excelente atendimento, mas a versão atualizada foi anterior à 11, necessária.",neutro
muito bom atendiento.,elogio
"Atendente muito prestativo, eficiente e rápido.",elogio
atendimento super rápido,elogio
Muito bom o atendimento,elogio
Não foi resolvido devido ser problema em toda o sistema Petrobras. ,neutro
Muito bom o atendimento ,elogio
SATISFATÓRIO,elogio
Excelente trabalho prestado pela TIC. Muito grato. Onofre,elogio
MUITO PRESTATIVO,elogio
"Rápido, direto e objetivo.",elogio
Excelente atendimento!,elogio
"inicialmente a nova senha também nã estava dando acesso, mas depois o problema foi solucionado",neutro
se fez necessario abrir outro chamado .,reclamação
ATENDIMENTO RÁPIDO E PRECISO,elogio
O atendente se demonstrou com má vontade para ajudar e com pouca paciência. O problema só foi solucionado com ajuda de apoio local e não com o apoio atendente,reclamação
Excelente atendimento.,elogio
"SOLICITEI AO COLABORADOR DO 881 QUE COLOCASSE A JUSTIFICATIVA DO PROBLEMA QUE  ESTÁ ACONTECENDO NO SAP, MAS O ATENDENTE COLOCOU COMO INFORMAÇÃO / SOLUÇÃO ""Cliente informado.""",reclamação
Atendimento rápido e eficaz. Solução foi adequada.,elogio
"Equipe local atendeu prontamente ao chamado, solucionando o problema.",elogio
Atenciosa e precisa no atendimento,elogio
Foi rápido. Obrigada.,elogio
Parabéns ótimo atendimento!,elogio
Atendimento muito bom !,elogio
Rapidez na resolução do problema.,elogio
otimo atendimento,elogio
Realizada limpeza no sistema e retirada de alguns programas que estavam inicializando junto com o login.  Ainda será verificado que essas medidas diminuirão a lentidão observada.,neutro
"Excelente atendimento: Rápido, eficiente e eficaz. Agradecemos ao Sr. Luiz Claudio.",elogio
Muito bom atendimento,elogio
Atendimento exelente,elogio
sim,neutro
muito rápido o atendimento.,elogio
"Demonstrou não conhecer o procedimento, apenas procurou um passo a passo genérico do procedimento.",reclamação
Atendimento rápido e que resolveu o problema.,elogio
O analista não prestou atenção no que foi solicitado.,reclamação
Atendente muito educada e disponível.,elogio
Parabéns pelo atendimento do técnico.,elogio
excelente atendimento,elogio
"Apesar de chegar com antecedência de 15 minutos para o evento, perdi os 10 primeiros minutos porque dois técnicos tiveram dificuldades em liberar o som da vídeo (tinha apenas imagem , nesses 10 minutos iniciais).",reclamação
Excelente atendimente e solução rápida.,elogio
Ótimo atendimento,elogio
presteza e eficiencia,elogio
"O chamado foi devido ao fato de que não consigo fazer ligações no meu ramal e quando consigo, a ligação cai entre 2 e 3minutos após. Aprece a mensagem de linha telefônica não disponível, sendo que os demais ramais na mesma sala estão ok.  Como a opção de reparo em linha telefônica não existe, optei pelo cadeado eletrônico, vislumbrando a possib de a TIC manter contato",neutro
Muito  bom !,elogio
profissional competente,elogio
"Agradeço pelo pronto atendimento do Gabriel, me auxiliando no meu problema descrito acima.",elogio
O problema foi resolvido com sucesso pelo empenho e dedicação do André. Muito obrigado.,elogio
Excelente atendimento!,elogio
Analista realizou procedimento com rapidez e competência de sempre. Sempre solícito e atencioso.,elogio
O retorno foi bem rápido. Agradeço à equipe de atendimento do Lotus Notes e SST.,elogio
A agilidade no atendimento foi fundamental para que não tivéssemos problemas na provisão de royalties.,neutro
"Informo que o chamado não foi resolvido devido a um problema na transação do SAP desde 26/05. Porém o atendimento foi excelente,.",neutro
nÃO ENTENDEU MEU PROBLEMA,reclamação
"Muito bom, resolveu na hora",elogio
"Excelente atendimento , parabéns !",elogio
Agradeço o imediato atendimento a esta solicitação. Obrigada!,elogio
"O funcionário que entrou em contato comigo não estava preparado para solucionar meu problema, como eu informei para ele no momento em que ele me ligou. Ao saber dessa informação ele continuou repetindo a mesma informação que não tinha a menor utilidade para a resolução do problema, de maneira grosseira. Sugiro que os funcionários só entrem em contato com o usuário somente quando tiverem certeza de como resolver o problema, sem pressa.",reclamação
Excelente atendimento,elogio
Parabéns pelo bom atendimento.,elogio
ÓTIMO E RÁPIDO ATENDIMENTO,elogio
Este assunto está foi solicitado em 25/05/15 e não foi dado um boma encaminhamento a solicitação.,reclamação
Foi solucionado o problema com muita precisão e eficiência,neutro
Atendimento eficiente,elogio
"Muito bom, resolveu na hora.",elogio
profissional competente,elogio
Otimo atendimento.,elogio
Nenhuma equipe da Tic conseguiu resolver ou encaminhar o chamado para a esquipe meesclarecesse a dúvida em relação ao alerta. Ainda por cima fornecem telefones que não atendem e,reclamação
Atendimento excelente.,elogio
Em andamento,neutro
Atendimento excelente,elogio
"foi necessario abrir outro chamado para ser resolvido o problema,",neutro
Atentende muito atenciosa.,elogio
Os transtornos provocados pelo sistema na migração do Portal Petronect para o SAP estão impactando diretamente nas atividades de quem trabalha com o Rodízio de Fornecedores. Esse problema já havia aparecido antes e não é criada um solução definitiva para evitar repetições. Fica aqui registrado o meu protesto.,reclamação
ótimo atendimento da Cátia.,elogio
Rápido e eficiente,elogio
Fui orientada corretamente como proceder. Obrigada!!,neutro
Muito bom atendimento e super atencioso,elogio
No atendimento seguinte a este constatamos tecla Scroll Lock ativada.,reclamação
"Tenho que enviar nota e/ou dip para a solução de mapeamento de um diretório raiz no scrip de logon do Windows. Diretório este, que eu já tenho acesso e autorização da gerencia.",reclamação
"Bom atendimento, rápido e preciso. Atendente muito disposto a ajudar!!!",elogio
"Foi feita alteração no endereço das pastas no drive V, sem informação Prévia.",neutro
gostaria de  agradecer ao técnico :  Alex  Pereira Antunes   - chave :zl5i,elogio
Gostei da presteza e objetividade do atendimento.,elogio
MUITO BOM,elogio
Precisarei obter outras informações para solicitar o atendimento.,neutro
Atendente bem solicito e disposto a ajudar a resolver o problema.,elogio
O chamado foi repassado para outra equipe. Trata-se de um problema com um processo de compras que precisa ser concluído o mais rápido possível. Não há previsão de conclusão.,neutro
